"country","catch_mpa","catch_eez"
"BRA",179212.689390022,969322.900617604
"VGB",0,3068.41208693176
"CHL",17373.7596901787,2280027.21574961
"COL",11830.3135126628,47381.6590873679
"CRI",10501.1499243872,51589.4676252742
"DOM",12010.0578551751,32097.4105767122
"ECU",43282.0819199819,642128.293134936
"JAM",0,16184.7715564045
"BES",2694.48320262796,2694.48320262796
"PER",52425.3468394244,5092549.63077828
"PAN",13238.3693327459,91806.2416115541
"SUR",0,58843.3616302186
"VEN",32184.9069663703,168283.157648693
"VIR",0,1255.12278285686
"AUS",58636.795428946,199533.617196915
"CAN",165775.046014547,2457406.88326483
"FRA",176573.344950057,433023.773028497
"IRN",0,320001.542129616
"JPN",644347.718866379,6015242.62838582
"KEN",0,19264.034690612
"KOR",93775.3062007649,2613180.04764765
"MYS",76203.5672183992,2911378.22831322
"MRT",277028.72186719,1567939.9906469
"MOZ",10812.0217546819,184480.402996161
"SJM",44778.1770857288,333457.83227205
"PHL",189744.167454532,1922745.10665135
"POL",19498.1002438907,125737.024067285
"SAU",9155.07905469465,93004.8021751739
"SWE",52815.8849570311,210417.956271463
"TUN",1104.95374642297,130610.826280429
"USA",319412.341497604,5503126.26332992
"CMR",0,166814.063497601
"IDN",391109.448641278,7485896.05665075
"MUS",0,16621.209665919
"PRT",33818.7518995845,165375.249093425
"GBR",448208.72162301,1856890.30426467
"ISL",9065.11422209547,918304.60007909
"NZL",33118.8377979878,650636.308608986
"EST",4468.70987081785,62948.0861930111
"GEO",0,282292.251412947
"UKR",6433.85633879813,170469.07673822
"MEX",356963.50258959,2022962.48467821
"FLK",0,1116983.163009
"GRL",1084.44985318695,378924.437603534
"BHS",1105.44987355786,18590.7685454771
"GMB",0,90121.5138687265
"MDG",5264.23737727079,137459.92571017
"HRV",8426.62925288265,91261.9202020465
"SEN",69383.2767602939,573429.376450327
"FJI",6312.78461528186,39353.4204421389
"NOR",57628.9401878134,2082875.36799034
"LKA",0,333546.210402919
"ARG",58453.7591535637,1200675.08739752
"ZAF",48988.5236499857,640096.88111267
"PNG",1316.2376965056,365890.661175202
"NCL",10681.8711293778,15903.6319965893
"TON",0,7848.3312124782
"PLW",93087.774195833,95268.1985681802
"COK",14012.3471733345,14012.3471733345
"AGO",41025.8996706048,728109.897213269
"ALB",0,8422.75680277581
"SYC",6462.81648191711,18601.347507391
"NFK",0,910.795092091916
"IRL",10738.7618186713,500895.958986674
"ESP",142398.164117907,539346.785595156
"DNK",38066.7732677127,222928.071972643
"ITA",44473.0848466998,252413.384853622
"PAK",0,768343.419174981
"THA",156616.654055459,1831800.93980713
"FIN",44044.6163851094,178973.441973559
"VNM",215493.974676725,3045473.89354559
"MMR",13207.8180632353,1515126.42402376
"TWN",8998.52636099683,3543224.71318411
"DEU",82532.8082912839,167633.50696386
"ROU",1905.9754203462,5347.22141831819
"CUW",0,1292.94523818005
"EGY",14120.079564613,179068.705764301
"VUT",0,13149.2104442845
"RUS",105149.25800403,6764034.69530007
"BGR",0,13528.4175949073
"MAR",0,1128328.18309239
"MLT",2059.75059105799,8447.97099917083
"DMA",0,913.439072912502
"LCA",0,1116.39309609091
"OMN",157641.820276055,211241.794730922
"BLZ",103.238893432181,6800.70705523665
"PRI",0,1949.74490018058
"CUB",4931.38223977286,23762.3757638331
"GTM",3015.7510850285,35027.9455888938
"NIC",5037.68941493094,89647.0509403703
"GRD",0,1405.82279301891
"TTO",0,22162.6982685053
"NLD",22498.4943673644,124884.953652467
"CYM",0,289.597766120942
"WSM",0,9818.26200102014
"TCA",0,8351.66992264045
"PCN",295.563745636292,295.563745636292
"GRC",11528.6333054809,99859.0270318448
"ISR",0,7451.85411257072
"ABW",0,1387.64374715113
"AIA",0,2077.23398683539
"VCT",0,1245.40421056505
"BRN",0,56606.551152155
"KWT",0,24789.5947022039
"UMI",15929.7966123449,32179.7365183535
"HND",5118.94355013067,18873.6059132875
"GNQ",0,35756.3562401046
"BMU",0,1577.03836321953
"KNA",0,1666.94399142593
"ATG",0,3883.17747698264
"LTU",1101.8243746575,22419.3498992777
