"country","catch_mpa","catch_eez"
"BRA",184192798.873239,1046506328.30016
"VGB",0,10558918.4718774
"CHL",15952599.9949633,1233401626.24291
"COL",21097374.0002546,90360259.1133026
"CRI",20603511.5093434,94388929.2727086
"DOM",17822310.5587219,46976541.2794161
"ECU",42450459.6783929,539953245.210682
"JAM",0,31998070.0458799
"BES",7678273.17811406,7678273.17811406
"PER",30328497.0098735,3572766019.58534
"PAN",13210579.0429759,48469734.7611722
"SUR",0,70624757.4368948
"VEN",92829181.9976454,489111117.975967
"VIR",0,4126447.26730823
"AUS",164607662.48505,517448095.887219
"CAN",297349267.09982,4198146675.2528
"FRA",401464346.642348,937889235.861792
"IRN",0,314173610.155423
"JPN",954165746.091209,8100524672.66349
"KEN",0,30504372.7860622
"KOR",161911533.614448,3885925394.67364
"MYS",65653029.7314363,2248471286.89512
"MRT",170766749.876012,1089914152.59487
"MOZ",13420260.9169022,194231943.95803
"SJM",23053297.5765194,228618288.832276
"PHL",216058670.59417,1918007520.58069
"POL",8490835.01511647,42311887.4457546
"SAU",13935967.9648265,118659597.205933
"SWE",22413573.7055159,98052826.3129497
"TUN",937448.361334574,126195365.124567
"USA",494178987.831392,7543877802.43339
"CMR",0,140925354.175129
"IDN",259807924.126743,5025296998.71089
"MUS",0,22165892.84642
"PRT",46711366.4299495,211193703.955251
"GBR",676961148.477067,2366867992.30754
"ISL",11343893.0657418,1604553448.2664
"NZL",37392772.153662,710169278.042015
"EST",1370367.97306739,18227117.1077103
"GEO",0,80374279.8836604
"UKR",3415422.84780079,83940005.8501138
"MEX",283185278.994784,1718564126.7151
"FLK",0,1855111821.81282
"GRL",1323378.83066324,830876674.554886
"BHS",4395295.43042069,77933115.2483928
"GMB",0,68592950.5992172
"MDG",4509408.33732031,127722249.264242
"HRV",4520750.54758724,55246123.7250661
"SEN",70522725.2283667,581313859.329417
"FJI",11447844.6086567,81534864.9593375
"NOR",29207012.1082621,1319686455.84754
"LKA",0,252581763.71981
"ARG",99251954.7250996,1246058441.93603
"ZAF",26013360.0659783,300327362.142202
"PNG",2109953.43910679,828991224.184634
"NCL",33901572.7794922,50909406.2943231
"TON",0,15291382.397625
"PLW",157286086.635164,159827784.17689
"COK",24136064.830568,24136064.830568
"AGO",24763076.40163,481615849.97791
"ALB",0,4941752.04194217
"SYC",11665734.7818474,32100845.5074575
"NFK",0,1270863.5215419
"IRL",13253341.3769573,453241710.497084
"ESP",232930484.078416,703080784.049226
"DNK",41577783.124052,208465346.898189
"ITA",116148330.52718,589947031.666622
"PAK",0,423043929.146538
"THA",135141980.545363,1520508001.40519
"FIN",16166641.4100947,55097917.7364177
"VNM",188928034.386582,2583487969.81385
"MMR",6823793.52572287,766791765.310274
"TWN",11016486.7224174,4383029982.57791
"DEU",97238599.1729018,203081967.189096
"ROU",2084468.28931034,4569808.17364715
"CUW",0,3459196.99678994
"EGY",13536606.3375077,225080046.708674
"VUT",0,29197349.6184839
"RUS",111907583.96344,7378437379.64204
"BGR",0,13848742.8124658
"MAR",0,741034506.384304
"MLT",5551341.04271956,23902754.3201422
"DMA",0,1793865.15299662
"LCA",0,2953270.55481877
"OMN",171059216.050706,238896391.81052
"BLZ",161654.075415357,14670583.6752913
"PRI",0,5707598.98636524
"CUB",5102243.62301449,25091336.2319335
"GTM",1678587.78986893,53695980.1928431
"NIC",7902868.76485878,141905440.865477
"GRD",0,3570378.68926939
"TTO",0,40037532.4764412
"NLD",25839973.7438064,187570421.23691
"CYM",0,304678.148799346
"WSM",0,23520048.1043379
"TCA",0,31956503.0598474
"PCN",491618.353726114,491618.353726114
"GRC",21630855.0247581,174481733.974764
"ISR",0,26646489.3753832
"ABW",0,3327935.51629739
"AIA",0,13313356.2206397
"VCT",0,2290257.2221963
"BRN",0,45954127.5628401
"KWT",0,47177250.6263526
"UMI",15987668.230951,45633130.3696129
"HND",10640526.9314809,39635912.956975
"GNQ",0,40640251.8422458
"BMU",0,9682745.47436992
"KNA",0,5334116.52817963
"ATG",0,14006670.1009199
"LTU",332242.896334566,6560193.16323035
"TZA",29521473.4530449,154009862.422621
"GNB",2438883.35785311,720073726.543289
"NGA",0,590724609.595728
"LVA",5223505.86487233,23507278.5418392
"GUY",0,62545077.5209036
"KAZ",0,0
"CHN",139649670.188985,12769245072.8768
"BEL",4277332.31564158,12158198.5405301
