ref_ID,Country,Ref,PubDate,Continent,MPA_name,MPA_size,MPA_size_cat,MPA_age,MPA_age_cat_2,MPA_age_cat,Multiple_Zones,MPA_ntake_01,MPA_notake,Ecosystem,Eco_simple,Study_design,Study_design_2,Stake_simple,Stakeholder,CPUE,Catch,Income
1,Philippines,"Abesamis R.A., Alcala A.C., Russ G.R. (2006) How much does the fishery at Apo Island benefit from spillover of adult fish from the adjacent marine reserve? Fishery Bulletin 104, 360-375.",2006,Asia,Apo Island Marine Reserve,274.7,Large,22,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,D,BACI,Fisheries,Afisheries,Increase,,Increase
1,Philippines,"Abesamis R.A., Alcala A.C., Russ G.R. (2006) How much does the fishery at Apo Island benefit from spillover of adult fish from the adjacent marine reserve? Fishery Bulletin 104, 360-375.",2006,Asia,Apo Island Marine Reserve,274.7,Large,22,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,D,BACI,Fisheries,Afisheries,Increase,,Increase
1,Philippines,"Abesamis R.A., Alcala A.C., Russ G.R. (2006) How much does the fishery at Apo Island benefit from spillover of adult fish from the adjacent marine reserve? Fishery Bulletin 104, 360-375.",2006,Asia,Apo Island Marine Reserve,274.7,Large,22,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,D,BACI,Fisheries,Afisheries,Increase,,Increase
2,Philippines,"Alcala A.C. (1988) Effects of marine reserves on coral fish abundances and yields of Philippine coral reefs. Ambio 17, 194-199.",1988,Asia,Sumilon Reserve,0.398,Small,10,>10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
2,Philippines,"Alcala A.C. (1988) Effects of marine reserves on coral fish abundances and yields of Philippine coral reefs. Ambio 17, 194-199.",1988,Asia,Sumilon Reserve,0.398,Small,10,>10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
2,Philippines,"Alcala A.C. (1988) Effects of marine reserves on coral fish abundances and yields of Philippine coral reefs. Ambio 17, 194-199.",1988,Asia,Sumilon Reserve,0.398,Small,10,>10 years,Medium,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,Increase,Increase,
3,Philippines,"Alcala A.C., Russ G.R., Maya A.P., Calumpong H.P. (2005) A long-term, spatially replicated experimental test of the effect of marine reserves on local fish yields. Canadian Journal of Fisheries and Aquatic Sciences 62, 98-108.",2005,Asia,Apo Island Marine Reserve,274.7,Large,24,>10 years,Old,N,Y,1,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
3,Philippines,"Alcala A.C., Russ G.R., Maya A.P., Calumpong H.P. (2005) A long-term, spatially replicated experimental test of the effect of marine reserves on local fish yields. Canadian Journal of Fisheries and Aquatic Sciences 62, 98-108.",2005,Asia,Sumilon Reserve,0.398,Small,17,>10 years,Old,Y,N,0,tropical - coral reef,Tropical,BA,BACI,Fisheries,Afisheries,,Increase,
4,Philippines,"Allegretti A.M., Vaske J.J., Cottrell S. (2012) Predicting Stakeholder Support for Fishery Policies. Coastal Management 40, 20.",2012,Asia,Multiple,,,,,,Y,N,0,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
4,Philippines,"Allegretti A.M., Vaske J.J., Cottrell S. (2012) Predicting Stakeholder Support for Fishery Policies. Coastal Management 40, 20.",2012,Asia,Multiple,,,,,,Y,N,0,tropical - coral reef,Tropical,P,Perception,Fisheries,Afisheries,,Increase,
